Date,Strategy_ret,Cumulative_ret,Z-Score,Beta
2022-07-14,0.007159727111952993,1.0593652683795884,1.3749523440447458,-0.014069850617789714
2022-07-15,-0.007338449018175715,1.0515911703659588,1.4312521278080081,-0.015505700533294696
2022-07-18,0.019524790744039663,1.072123267915634,1.3085057846768808,-0.015829019727817504
2022-07-19,-0.01234170751389744,1.0588914361241755,1.3415337098999984,-0.016426983521309828
2022-07-20,0.010586415931037655,1.0701013012927998,1.2288485165843692,-0.015756723312673592
2022-07-21,-0.006040546729967642,1.0636373043765415,1.1249041610027886,-0.013701704963784003
2022-07-22,-0.0021578442303586774,1.0613421407560983,1.0175769142085391,-0.011945337287482698
2022-07-25,-0.010529609332622812,1.050166622645687,0.9385145090429802,-0.010025243787367955
2022-07-26,0.0,1.050166622645687,0.8568255666651703,-0.008278691704723132
2022-07-27,-0.0,1.050166622645687,0.7659099230371043,-0.007344173974522077
2022-07-28,-0.0,1.050166622645687,0.5665586361357714,-0.004971958808209959
2022-07-29,-0.0,1.050166622645687,0.40200465266319146,-0.0025407757698289596
2022-08-01,0.0,1.050166622645687,0.3078044711108368,-0.0011057503374430969
2022-08-02,-0.0,1.050166622645687,0.0979980392605523,0.0005714655822863998
2022-08-03,0.0,1.050166622645687,0.04462566512845683,0.0010910936031421
2022-08-04,0.0,1.050166622645687,0.018255303801182142,0.0008137610959987537
2022-08-05,-0.0,1.050166622645687,-0.07434611321230407,0.0004950008951506088
2022-08-08,0.0,1.050166622645687,-0.04074982936808034,-0.00027686282002654244
2022-08-09,0.0,1.050166622645687,-0.0026698069911215757,-0.0011531241740232248
2022-08-10,0.0,1.050166622645687,0.01898446867440796,-0.001809728701960573
2022-08-11,-0.0,1.050166622645687,-0.28496475874702204,-0.002201362789996171
2022-08-12,0.0,1.050166622645687,0.09467090470576296,-0.003421330665614876
2022-08-15,-0.0,1.050166622645687,0.0055814673071566834,-0.0037323832128993463
2022-08-16,0.0,1.050166622645687,0.1771869783082511,-0.005071972141983589
2022-08-17,-0.0,1.050166622645687,0.19557051390260383,-0.00634956183151127
2022-08-18,-0.0,1.050166622645687,0.017996403326618515,-0.006533981100105241
2022-08-19,0.0,1.050166622645687,0.19419696689871713,-0.006866589166315495
2022-08-22,-0.0,1.050166622645687,-0.016839656715872023,-0.00624247180241265
2022-08-23,-0.0,1.050166622645687,-0.436616927193817,-0.005295498346180136
2022-08-24,-0.0,1.050166622645687,-0.628424255216533,-0.005069051669814664
2022-08-25,0.0,1.050166622645687,-0.45508966092071257,-0.005215665931513777
2022-08-26,-0.0,1.050166622645687,-0.7411476140981222,-0.005441862208322823
2022-08-29,-0.0,1.050166622645687,-0.8617295988524433,-0.005605846644748242
2022-08-30,-0.0,1.050166622645687,-0.8594351267142648,-0.006205229853669048
2022-08-31,-0.0,1.050166622645687,-1.0423686988357748,-0.005958942878664898
2022-09-01,0.031026308555721676,1.0827494163148121,-0.7119591807700741,-0.005407362999266547
2022-09-02,-0.0,1.0827494163148121,-1.1133255448801256,-0.004344710148074133
2022-09-06,0.0013117361863559508,1.084169697904948,-1.286159964436418,-0.0028583280275558207
2022-09-07,0.008132814402554471,1.0929870488388826,-1.2373231254468626,-0.0022687835186962655
2022-09-08,0.020590954959012385,1.115492695932308,-0.8484040137373988,-0.0031493973173845925
2022-09-09,0.0,1.115492695932308,-0.22597346618158706,-0.005865173923169341
2022-09-12,-0.0,1.115492695932308,0.21484677990705786,-0.00883301333183045
2022-09-13,-0.0,1.115492695932308,0.09896911835405206,-0.011480775346385325
2022-09-14,-0.0,1.115492695932308,0.6232481867474251,-0.01518610284480829
2022-09-15,-0.0,1.115492695932308,1.4944775644844257,-0.02163166918182114
2022-09-16,-0.00199006006510004,1.1132727984652222,1.864686965892723,-0.024359958920419752
2022-09-19,0.012689673723848743,1.1273998670433818,1.9619769312033761,-0.026566067264399928
2022-09-20,0.01510870833047543,1.144433422806357,1.5987112741190554,-0.026160717531321605
2022-09-21,0.019269918491434668,1.1664865615827091,0.7046072184491737,-0.021990720119640098
2022-09-22,0.0,1.1664865615827091,-0.12183529612121266,-0.015326061625310004
2022-09-23,-0.0,1.1664865615827091,-1.1577237996553884,-0.009269407548736206
2022-09-26,-0.0057277458875975105,1.159805222976666,-2.552071842655535,0.0018858653777005033
2022-09-27,0.005985295360084716,1.1667469997963502,-3.446458132549041,0.012809201881986906
2022-09-28,0.007242918649947706,1.1751976534009456,-3.8683417064030605,0.022442185285374124
2022-09-29,-0.005511705348265757,1.1687203102094263,-3.8923206086855573,0.029655339078993766
2022-09-30,-0.008529144999511303,1.1587521252197763,-3.8991545943480452,0.037745229276529436
2022-10-03,0.008154418376259843,1.1682010748431986,-3.8147863564603974,0.04576722931066761
2022-10-04,0.006352174709350651,1.175621692166254,-3.619255444887603,0.05104979022481463
2022-10-05,-0.006977805097156596,1.1674184331303283,-3.4337336428263705,0.05603270453957754
2022-10-06,-0.023625129003862207,1.1398380220461377,-3.397035238873714,0.0619367423244047
2022-10-07,-0.01584404890524386,1.1217783726807824,-3.2607621539356018,0.06815315743193869
2022-10-10,-0.013190780915409246,1.1069812399311059,-3.069732271350905,0.07070257006159325
2022-10-11,0.003186634925777388,1.1105087850124506,-2.8753567022661,0.07228563943015066
2022-10-12,0.0035095198122906245,1.1144061375951746,-2.677759412342489,0.07411114063158636
2022-10-13,0.02234460946806209,1.1393071075285504,-2.470474494023543,0.07490920617176453
2022-10-14,-0.0006673551105502587,1.138546785107855,-2.2538544467654438,0.07453854517178302
2022-10-17,0.016907179761880643,1.1577964002709848,-2.081824990357051,0.07281939742725552
2022-10-18,0.008681915253411335,1.1678482904988423,-1.950609039809795,0.0713221543687016
2022-10-19,-0.021954851827117476,1.142208354324388,-1.8666701519116333,0.07007234387312047
2022-10-20,-0.003622773392407696,1.1380703922897557,-1.7728332596876073,0.07036790530725888
2022-10-21,0.04551079099659207,1.1898648760526644,-1.6274831055463965,0.06957405980294978
2022-10-24,0.010453330268154978,1.2023029265765202,-1.5615603861257954,0.06801281302876769
2022-10-25,0.0008160282638721931,1.203284039746343,-1.478769843411169,0.06700124336090424
2022-10-26,0.010257770472231049,1.21562705123896,-1.37493107880061,0.0659494040715085
2022-10-27,-0.006684548875745007,1.2075011328002754,-1.3147864030865657,0.06521759030670185
2022-10-28,0.03508844124798978,1.249870465355419,-1.2181475213102417,0.06443576934119312
2022-10-31,-0.01738551649807837,1.2281408217595213,-1.167587870676839,0.06369809057980087
2022-11-01,0.03155766225783064,1.2668980750176628,-1.0395517647908157,0.06303772607707103
