Pair,Static Beta,Rolling Beta Avg,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate
IWM-JNJ,0.1988027622099357,0.3283390869609694,0.2470134113715663,0.13444514169267618,0.17686922943768787,0.7601386748848931,-0.17958805310727635,0.2
VTI-AAPL,0.6801453451283038,0.6475314470243444,0.126220094834137,0.07028394956949202,0.09407182049010838,0.7471307475853766,-0.11940508570295118,0.24545454545454545
PFE-NFLX,-0.03427109654053692,0.0032273681957817957,0.22761170837433609,0.12432537524118614,0.17680566825859784,0.7031752797616564,-0.2127148347458021,0.2818181818181818
COP-TGT,-0.2657447953298698,0.0992494149795816,0.3087339060665548,0.16619775842401996,0.23863634274675602,0.6964478105516022,-0.20959553860575006,0.2545454545454545
JNJ-PFE,0.7192396397678879,1.2992509805802053,0.3850613219245256,0.20459048821917003,0.2939067601599204,0.696106779265126,-0.20951952156849513,0.27954545454545454
TSLA-CVX,-2.4186266582074887,-0.3668147725161494,0.768427907449968,0.3850915868756688,0.5638039707186765,0.6830238999288983,-0.5543705337740229,0.2
IWM-GOOG,0.3223884049328644,0.5060169502046745,0.27682051304423005,0.14986175492145382,0.22523086039613635,0.6653695441995682,-0.28097473624143543,0.31136363636363634
IWM-HD,0.36652147972285054,0.43284645973189084,0.11616184888421643,0.06481134787925136,0.10049699105434061,0.6449083420239582,-0.1417265833737612,0.19318181818181818
UNH-PFE,-0.8264267310056578,1.7188357464745927,1.1641812821724038,0.5545201783138654,0.9149216481429625,0.6060848810817709,-0.5489786818447735,0.2590909090909091
IWM-CVX,-0.21749440836233985,0.22502509762530323,0.1699886309688845,0.09385797653875283,0.16556691511519503,0.566888478132543,-0.1641804025371617,0.22954545454545455
MS-PFE,0.08732963105907132,0.6239132986099797,0.2642569737442466,0.14338274285344266,0.27337723298833455,0.5244867734086731,-0.26377149532507427,0.26590909090909093
SPY-MSFT,0.612531047215684,0.7672540030802061,0.08839458241070752,0.04959265686165626,0.09971768142198903,0.4973306253661093,-0.07373537071147729,0.21136363636363636
VOO-MSFT,0.5644298811072946,0.7050031035752067,0.07131762857876423,0.04015040762111122,0.08991593163050113,0.44653274334190923,-0.07100872395769717,0.21136363636363636
XOM-NFLX,0.02209163140482213,0.027508042476744692,0.1286383397588764,0.07159656742549236,0.19243213733705966,0.3720613844250219,-0.20894152649104344,0.20681818181818182
AAPL-MSFT,0.4062403477403056,0.5039763518031266,0.09698611390552703,0.05431910027359277,0.1539118077864249,0.3529235414411378,-0.18446158403656143,0.26136363636363635
TSLA-PEP,-2.4775374978730103,0.7143042201915225,0.30469467442864273,0.16413964590940133,0.4684240414618705,0.3504082441993153,-0.470990709913821,0.16590909090909092
HD-PEP,0.33165393334877674,0.9483332534419949,0.11709706029019551,0.06532107681908261,0.20713310670815796,0.31535797370681706,-0.1530178885483147,0.19545454545454546
NVDA-NFLX,0.102395367799747,0.04744717463755481,0.17997356692100897,0.09918267232382183,0.38494426830893297,0.2576546281869141,-0.35123789943559236,0.22045454545454546
GS-CVX,0.2425730924435985,0.8724625534214601,0.12587907548143273,0.07009874789874915,0.29816128181322804,0.23510345633226745,-0.30715492223737906,0.2318181818181818
MS-HD,0.19766159770295605,0.22202904653028904,0.07209831823993129,0.04058347001566309,0.17314738685102596,0.23438684668444143,-0.2816647416459578,0.22727272727272727
MS-XOM,0.013055043650884965,0.20733080724365383,0.0853821912368824,0.04793167240706131,0.20919093631939387,0.22912882006455085,-0.310092639640251,0.29318181818181815
XOM-UNH,0.11247402419489647,0.037511258084292336,0.07850568334337438,0.04413265605540406,0.20378968008404535,0.21655981812819577,-0.17895431424418023,0.26136363636363635
QQQ-MSFT,0.9145701175112682,0.9303254246625962,0.04382979263136311,0.024815147821468653,0.12586779284737626,0.19715248245878755,-0.16547943710157134,0.2727272727272727
CVX-JNJ,0.45157264384782425,0.5149832294184139,0.07056248536879695,0.03973138759452266,0.21187231238485282,0.18752515204701725,-0.25620292761713825,0.24772727272727274
MS-COP,-0.03116003175797551,0.06115054259003728,0.058163103946789585,0.032832904417823494,0.18097848521356083,0.18141882654769453,-0.23325130615814949,0.23636363636363636
CVX-KO,0.981601403274966,0.4885970423948974,0.05809219708804836,0.03279335556555352,0.21585250219361224,0.15192483400604276,-0.2725753226764776,0.16590909090909092
UNH-COST,0.2603663253864737,0.38160316146827994,0.03452200950451889,0.019583281503722683,0.17126641985460772,0.11434396491937773,-0.2510520060627819,0.275
XOM-JNJ,-0.46275168624242224,0.1561894635177367,0.04089733148699093,0.02316898881701568,0.20785215192247486,0.11146860209394079,-0.20060312741763162,0.24545454545454545
GS-JNJ,-0.08748358921539019,0.9442207458992421,0.061273545703497856,0.0345666613702329,0.31179994621857593,0.11086166559503255,-0.3845920993748068,0.23863636363636365
COP-PFE,-1.1453158768488831,-0.03302220692861971,0.026318624803795432,0.014955443733527307,0.4019753556341104,0.037204877174460874,-0.3630097439682438,0.24772727272727274
SPY-QQQ,0.6929688505752333,0.8722751201550674,-0.002751206716796073,-0.0015730461734316803,0.06194606087019585,-0.025393804728405595,-0.0998693163369,0.21136363636363636
QQQ-META,0.5169131182068758,0.5981587401753337,-0.012101080176340262,-0.006932938005185796,0.14590858518387248,-0.047515627654458985,-0.168816737633127,0.27954545454545454
BAC-TGT,0.13127485761982363,0.1251119295305308,-0.015392211905737474,-0.008824774941041946,0.18523928390393693,-0.047639867500342846,-0.21422055438898902,0.2409090909090909
XOM-DIS,-0.5368010546614834,0.010251368390994314,-0.020220599800398253,-0.011605182577340223,0.21717693058606596,-0.053436534654131486,-0.21614903433147853,0.2431818181818182
COP-KO,-1.1335611284821416,-0.23311475783026395,-0.03728552532936091,-0.021479336971309437,0.2729409075130224,-0.07869592420947244,-0.452870274621995,0.18409090909090908
COP-NFLX,0.022678789694595657,0.04273243975384222,-0.03226492379187329,-0.018566569551146217,0.2186869861627754,-0.08490020314846972,-0.22331301388115563,0.17045454545454544
